kw,kw2,kw3,n
african wild dog, wild do,,1
african wild dogs (lycaon pictus),n pictus,,1
africanization,anizatio,,23
africanized bee,nized be,,1
africanized honeybee, honeybe,,1
afrique centrale, central,,1
afroalpine,froalpin,,1
afroalpine grassland,grasslan,,47
afroalpine vegetation,egetatio,,72
afrobatrachia,batrachi,,1
afromontane,romontan,,1
afromontane avifauna, avifaun,,4
afromontane forest,ne fores,,20
afromontane mistbelt forest,lt fores,,2
afronatrix anoscopus,anoscopu,s,1
afrormosia,frormosi,,1
afrotheria,frotheri,,1
afrotropical rain forest,in fores,,48
afrotropics,rotropic,s,1
after-death interactions,eraction,s,323
after-ripening,-ripenin,,1
afterfeather,erfeathe,,1
afterlife effects,e effect,s,64
afzelia africana, african,,4
afzelia quanzensis,uanzensi,s,1
agalychnis,galychni,s,1
agalychnis callidryas,allidrya,s,1
agama,agam,,1
agamedae,agameda,,1
agamid,agami,,1
agamidae,agamida,,1
agaonidae,agaonida,,1
agapeta zoegana lin,egana li,,1
agapetus,agapetu,s,1
agaricales,garicale,s,1
agaricia,agarici,,1
agaricia agaricites,garicite,s,1
agaricia humilis,a humili,s,3
agaricomycetes,comycete,s,2
agarophyton vermiculophyllum,lophyllu,,2
agasicles hygrophila,ygrophil,,1
agasthyamalai biosphere reserve,e reserv,,36
agastoparasitism,arasitis,,49
agathis,agathi,s,1
agathis dammara,s dammar,,1
agavaceae,agavacea,,1
agave sisalana, sisalan,,1
agave tequilana,tequilan,,1
agd,ag,,2
age,ag,,2
age and sex patterns in dispersal,dispersa,,174
age and size at first reproduction,roductio,,212
age and size at maturity, maturit,,7
age and size at reproduction,roductio,,212
age and size at transition,ransitio,,28
age at death, at deat,,1
age at first breeding, breedin,,29
age at first reproduction,roductio,,212
age at maturity, maturit,,7
age at onset of foraging, foragin,,49
age at pupation, pupatio,,2
age at reproduction,roductio,,212
age at sexual maturity, maturit,,7
age class effects,s effect,s,10
age class interactions,eraction,s,323
age cohort,ge cohor,,1
age dependence,ependenc,,86
age determination,rminatio,,37
age dichromatism,hromatis,,5
age distribution,tributio,,232
age effects,e effect,s,64
age estimates,estimate,s,16
age estimation,stimatio,,56
age from stage,rom stag,,1
age hierarchy,hierarch,,22
age markers,e marker,s,4
age misclassification,ificatio,,174
age of clones,of clone,s,2
age of first flowering,flowerin,,25
age of first reproduction,roductio,,212
age of primiparity,imiparit,,2
age of the earth,the eart,,1
age or stage structure,structur,,198
age pattern,e patter,,7
age polyethism,olyethis,,1
age ratio,age rati,,1
age segregation,gregatio,,54
age sequence, sequenc,,13
age structure,structur,,198
age structure of gaps,e of gap,s,1
age structured populations,pulation,s,93
age truncation,runcatio,,4
age variation,variatio,,240
age x size,ge x siz,,1
age- and sex-specific foraging, foragin,,49
age-at-harvest,t-harves,,1
age-based demographic parameters,arameter,s,19
age-based model,sed mode,,10
age-based parameters,arameter,s,19
age-by-environment interaction,teractio,,133
age-class,age-clas,s,2
age-dependent,dependen,,24
age-dependent extinction,xtinctio,,41
age-dependent male reproductive success,e succes,s,24
age-dependent mark-recapture model,ure mode,,8
age-dependent maternal investment,nvestmen,,28
age-dependent mortality,mortalit,,122
age-dependent mortality demography,emograph,,56
age-dependent reproduction,roductio,,212
age-dependent reproductive effort,ve effor,,4
age-dependent stochastic demography,emograph,,56
age-dependent survival, surviva,,85
age-dependent trait expression,xpressio,,21
age-dependent vulnerability,erabilit,,17
age-from-stage modeling, modelin,,95
age-from-stage models,ge model,s,4
age-independent mortality,mortalit,,122
age-period-cohort models,rt model,s,1
age-prevalence model,nce mode,,11
age-range correlation,rrelatio,,58
age-ratio analyses, analyse,s,17
age-related egg rejection,rejectio,,4
age-related improvement,provemen,,5
age-related memory impairment,mpairmen,,2
age-related parasitism,arasitis,,49
age-related reproductive effort,ve effor,,4
age-related survival, surviva,,85
age-seroprevalence,revalenc,,12
age-size relations,relation,s,36
age-specific,-specifi,,4
age-specific body mass,body mas,s,6
age-specific breeding probability,obabilit,,34
age-specific expression of inbreeding depression,epressio,,17
age-specific fecundity,fecundit,,23
age-specific fecundity and survival, surviva,,85
age-specific foraging, foragin,,49
age-specific growth,ic growt,,14
age-specific mortality,mortalit,,122
age-specific mortality hypothesis,ypothesi,s,335
age-specific mutations,mutation,s,14
age-specific physiology,hysiolog,,33
age-specific recruitment,cruitmen,,41
age-specific reproduction,roductio,,212
age-specific reproduction and survival, surviva,,85
age-specific reproductive success,e succes,s,24
age-specific resistance,esistanc,,97
age-specific survival, surviva,,85
age-specific variation,variatio,,240
age-specificity,ecificit,,27
age-stage structure,structur,,198
age-structure fluctuations,ctuation,s,22
age-structured,tructure,,16
age-structured delayed-maturation time model,ime mode,,4
age-structured interactions,eraction,s,323
age-structured model,red mode,,6
age-structured population,opulatio,,62
age-structured population model,ion mode,,86
age-structured species,d specie,s,34
age-year-cohort effects,t effect,s,37
age/forest cohort,st cohor,,1
age&#8208,age&#820,,1
aged-related decline in productivity,ductivit,,69
ageing,agein,,1
aglaia,aglai,,1
agelaia-yepocapa,-yepocap,,1
agelaius,agelaiu,s,1
agelaius phoeniceus,hoeniceu,s,1
agelanthus brunneus, brunneu,s,2
agelanthus djurensis,djurensi,s,1
agelanthus natalitius,atalitiu,s,1
agelenopsis emertoni, emerton,,1
ageneotettix deorum,ix deoru,,1
agent based model,sed mode,,10
agent of selection,selectio,,298
agent selection,selectio,,298
agent-based,ent-base,,1
agent-based model (abm),del (abm,,1
agent-based modeling, modelin,,95
ageratina adenophora,denophor,,1
ages of trees, of tree,s,3
aggregate community biomass,y biomas,s,6
aggregate site frequency spectrum (asfs),um (asfs,,1
aggregate variability,riabilit,,81
aggregated boosted trees,ted tree,s,4
aggregated dispersal,dispersa,,174
aggregated distribution,tributio,,232
aggregated disturbance,sturbanc,,66
aggregated seed dispersal,dispersa,,174
aggregated spatial distributions,ribution,s,32
aggregating species by functional group,nal grou,,4
aggregation,gregatio,,54
aggregation economy,n econom,,3
aggregation model,ion mode,,86
aggregation model of co-existence,existenc,,40
aggregation of risk,n of ris,,4
aggregation techniques,echnique,s,12
aggregative behaviour,behaviou,,43
aggregative feeding,e feedin,,6
aggregative response, respons,,110
aggression,ggressio,,9
aggression and social interactions,eraction,s,323
aggression tests,ion test,s,8
aggressive behavior, behavio,,157
aggressive chases,ve chase,s,1
aggressive defence,e defenc,,5
aggressive hybridization,idizatio,,26
aggressive interactions,eraction,s,323
aggressive mimicry,e mimicr,,7
aggressiveness,ssivenes,s,2
aggressiveness motivation,otivatio,,4
aggressivity,ressivit,,1
agility vs maximal performance,rformanc,,60
aging,agin,,1
aging error,ing erro,,4
aging in the wild, the wil,,2
aging models,ng model,s,10
aging populations,pulation,s,93
aging rate,ging rat,,2
aging theory,ng theor,,16
aglaia spectabilis,ectabili,s,4
aglyptodactylus laticeps, laticep,s,2
agmatoploidy,atoploid,,1
agonistic,agonisti,,3
agonistic behavior, behavio,,157
agonistic interactions,eraction,s,323
agonum dorsale,m dorsal,,1
agouti,agout,,1
agouti paca,outi pac,,1
agraulis-vanillae,-vanilla,,1
agri-environment schemes,t scheme,s,1
agricultural abandonment,andonmen,,5
agricultural activity, activit,,57
agricultural biodiversity,diversit,,255
agricultural change,al chang,,27
agricultural chemicals,chemical,s,11
agricultural clearings,clearing,s,3
agricultural development,velopmen,,95
agricultural disturbance,sturbanc,,66
agricultural ecology,l ecolog,,48
agricultural ecosystems,cosystem,s,59
agricultural environments,ironment,s,22
agricultural expansion,expansio,,27
"agricultural experiment station, tennessee",tennesse,,4
agricultural frontier, frontie,,2
agricultural grassland,grasslan,,47
agricultural history,l histor,,8
agricultural intensification,ificatio,,174
agricultural intensity,intensit,,35
agricultural land use vs. forest watersheds,atershed,s,3
agricultural land uses,land use,s,2
agricultural landscapes,andscape,s,29
agricultural legacy,al legac,,4
agricultural management,anagemen,,79
agricultural matrix,al matri,,4
agricultural pest,ural pes,,1
agricultural plants,al plant,s,13
agricultural pollution,pollutio,,18
agricultural soil,ural soi,,1
agricultural subsidy,l subsid,,9
agricultural systems,l system,s,21
agricultural waste,ral wast,,1
agricultural weeds,ral weed,s,1
agricultural-ecological interface,interfac,,9
agriculture,ricultur,,23
agriculture landscapes,andscape,s,29
agrilus planipennis,anipenni,s,1
agrimonia rostellata,ostellat,,1
agriotes,agriote,s,1
agriotes lineatus, lineatu,s,3
agriotes spp.,otes spp,,1
agroecosystems,cosystem,s,59
agro-environment,vironmen,,73
agro-pastoral,-pastora,,1
agro-pastoral landscape,landscap,,42
agrobacterium tumefaciens,mefacien,s,1
agrobiodiversity,diversit,,255
agrocharis melanantha,elananth,,1
agrodealer,grodeale,,1
agrodiaetus,rodiaetu,s,1
agroecology,roecolog,,5
"agroecosystems, tropical rice",ical ric,,1
agroforest,grofores,,1
agroforestry,oforestr,,3
agroforestry systems,y system,s,3
agromyzidae,romyzida,,1
agropyron cristatum,cristatu,,5
agropyron desertorum,esertoru,,2
agropyron repens,on repen,s,1
agropyron spp.,yron spp,,1
agropyron trachycaulum,chycaulu,,1
agropyron-smithii,n-smithi,,1
agrostis,agrosti,s,1
agrostis capillaris,apillari,s,2
agrostis hyemalis, hyemali,s,2
agrostis scabra,is scabr,,1
agrostis stolonifera,olonifer,,1
agrotis-ipsilon,s-ipsilo,,1
agua salud,gua salu,,1
ai,a,,2
aic,ai,,2
aic multimodel inference,inferenc,,17
aic statistic,statisti,,11
aicc,aic,,1
aid,ai,,2
aidia ochroleuca,chroleuc,,2
aids,aid,s,1
ailanthus altissima,altissim,,5
ailaoshan,ailaosha,,1
ailuropoda melanoleuca,lanoleuc,,1
air breathers,breather,s,1
air layer,air laye,,1
air pollution,pollutio,,18
air pressure, pressur,,21
air temperature,mperatur,,65
air-breathing fish,hing fis,,1
air-source heat pump technology,echnolog,,4
airborne fungi,rne fung,,1
airborne imaging,e imagin,,1
airborne laser scanning, scannin,,4
airborne remote sensing,e sensin,,9
airborne signalling,ignallin,,6
airborne spectroscopy,ctroscop,,7
aircraft noise,aft nois,,1
airspeed,airspee,,1
aix-sponsa,ix-spons,,1
aizoaceae,aizoacea,,1
ajuga reptans,a reptan,s,2
akaike,akaik,,1
akaike criterion,criterio,,11
akaikes information criteria, criteri,,10
akaike information criterion (aic),ion (aic,,1
akaike weights,e weight,s,2
akodon,akodo,,1
akodon cursor,on curso,,1
akodon olivaceus,olivaceu,s,3
al,a,,2
alabama (usa),ama (usa,,1
alabama beach mouse,ach mous,,1
alamos,alamo,s,1
alang alang,ang alan,,1
alaria esculenta,esculent,,2
alaria marginata,marginat,,7
alaria nana,aria nan,,1
alarm calls,arm call,s,4
alarm cues,larm cue,s,1
alarm signals,m signal,s,2
alaska,alask,,1
alaska (usa),ska (usa,,2
alaska forests,a forest,s,2
alaska frame-based ecosystem code,stem cod,,1
alaska paper birch,per birc,,2
alaska peninsula,peninsul,,13
"alaska, kadashan river basin",ver basi,,6
alaskan treeline, treelin,,3
alates,alate,s,1
alatospora acuminata,acuminat,,5
alaudidae,alaudida,,1
albatross,albatros,s,4
albatrosses,batrosse,s,1
albedo,albed,,1
alberta,albert,,1
"alberta, canada","a, canad",,11
albertine rift region,ft regio,,1
albinaria,albinari,,1
albinism,albinis,,1
albino plants,no plant,s,1
albizia,albizi,,1
albizia falcataria,alcatari,,1
albizia lebbeck,a lebbec,,1
albizia procera,a procer,,4
albumen,albume,,1
albumin,albumi,,1
alca torda,lca tord,,1
alcc,alc,,1
alces alces,ces alce,s,1
alchornea,alchorne,,1
alchornea latifolia,latifoli,,12
alcid,alci,,1
alcidae,alcida,,1
alcidodes,alcidode,s,1
alcohol dehydrogenase,drogenas,,5
alcohol tolerance,toleranc,,58
alcolapia,alcolapi,,1
alcyonium,alcyoniu,,1
alder,alde,,1
aldina latifolia,latifoli,,12
alecanochiton marquesi, marques,,1
alectoria sarmentosa,armentos,,1
alectoris chukar,is chuka,,1
alectoris graeca saxatilis,saxatili,s,4
alectroenas madagascariensis,cariensi,s,3
alee effects,e effect,s,64
aleochara,aleochar,,1
aleocharinae,ocharina,,1
alesa,ales,,1
alethinophidia,inophidi,,1
aletris bracteata,bracteat,,1
aleurian islands,n island,s,12
aleuritia duby,itia dub,,1
aleutian low,utian lo,,1
alewife,alewif,,1
aleyrodoidea,yrodoide,,1
alfalfa,alfalf,,1
alfalfa leafcutting bee,tting be,,1
alfresco,alfresc,,1
alga,alg,,1
alga-herbivore interactions,eraction,s,323
algae,alga,,1
algae grazer interaction,teractio,,133
"algae, encrusting vs. turf-forming",f-formin,,1
algal and diatom guilds,om guild,s,1
algal assemblages,semblage,s,31
algal biomass,l biomas,s,11
algal bloom,gal bloo,,3
algal canopies, canopie,s,5
algal canopy,al canop,,1
algal colonization,onizatio,,45
algal communities,mmunitie,s,153
algal community,communit,,120
algal defenses, defense,s,20
algal demography,emograph,,56
algal evolution,evolutio,,298
algal forests turf shrubs,rf shrub,s,2
algal forms,gal form,s,1
algal induction,inductio,,15
algal photosynthetic hydrogen discrimination,iminatio,,22
algal pigments, pigment,s,7
algal recruitment,cruitmen,,41
algal species composition,mpositio,,129
algal succession,uccessio,,54
algal toxin,gal toxi,,1
algal turfs,gal turf,s,1
algal-bacterial interactions,eraction,s,323
alginate lyase,ate lyas,,1
algonquin park,quin par,,1
algonquin provincial park,cial par,,1
algorithm(s),orithm(s,,1
algorithmic model,mic mode,,9
alien,alie,,1
alien flora,ien flor,,1
alien plant species,t specie,s,44
alien plants,en plant,s,7
alien species,n specie,s,15
alien weed,lien wee,,1
aliens,alien,s,1
alignable differences,fference,s,30
alimentation,mentatio,,58
alkaline phosphatase,osphatas,,3
alkalinity,lkalinit,,2
alkalinity budget,ty budge,,3
alkalization,alizatio,,101
alkaloid sequestration,estratio,,11
alkaloids,alkaloid,s,4
alkenylphenols,ylphenol,s,1
all,al,,2
all-else-equal assumption,ssumptio,,4
all-subsets regression,egressio,,92
allagoptera,lagopter,,1
allagoptera arenaria, arenari,,4
allan wilson,an wilso,,1
allantonematidae,nematida,,2
allee,alle,,1
allee effect,ee effec,,7
allee effect in two rodent species,t specie,s,44
"allee effect, measuring",measurin,,1
allee threshold,threshol,,31
allele,allel,,1
allele divergence,ivergenc,,55
allele diversity,diversit,,255
allele frequency,frequenc,,32
allele habitat associations,ociation,s,26
allele sequence divergence,ivergenc,,55
allele-frequency change,cy chang,,2
allele-specific expression,xpressio,,21
allele/fitness correlation,rrelatio,,58
allelic covariance,ovarianc,,26
allelic effects,c effect,s,42
allelic richness, richnes,s,85
allelic sensitivity,nsitivit,,36
allelochemical defense,l defens,,16
allelochemical protection,rotectio,,25
allelochemical transport,transpor,,29
allelochemicals,chemical,s,11
allelopathic effects,c effect,s,42
allelopathy,lelopath,,5
allenbys gerbil,ys gerbi,,1
"allenbys gerbils, gerbillus andersoni allenbyi", allenby,,3
allens rule,lens rul,,1
alliaria petiolata,petiolat,,3
alligator,alligato,,2
alligator mississippiensis,ippiensi,s,1
allium vineale,m vineal,,1
allobates sumtuosus,sumtuosu,s,1
allocare,allocar,,1
allocation,llocatio,,61
allocation constraints,nstraint,s,33
allocation costs,ion cost,s,6
allocation de biomasse, biomass,,1
allocation patterns, pattern,s,106
allocation plasticity,lasticit,,75
allocation ratio,ion rati,,6
allocation strategies,trategie,s,83
allocation to male vs. female function, functio,,101
allocation to root and shoot,and shoo,,1
allocation trade-offs,rade-off,s,38
allochronic isolation,isolatio,,55
allochronic speciation,peciatio,,53
allochrony,llochron,,2
allochthonous,chthonou,s,2
allochthonous and autochthonous food sources,d source,s,3
allochthonous carbon,us carbo,,2
allochthonous detritus, detritu,s,5
allochthonous flow,nous flo,,1
allochthonous input,ous inpu,,1
"allochthonous input, barrier island ecology",d ecolog,,12
allochthonous material, materia,,6
allochthonous nutrient input,ent inpu,,2
allochthonous nutrients,nutrient,s,28
allochthonous organic carbon,ic carbo,,11
allochthonous organic matter,ic matte,,17
allochthonous resource, resourc,,14
allochthonous spillover,spillove,,7
allochthonous subsidies,subsidie,s,18
allochthonous subsidy,s subsid,,1
allochthony,lochthon,,1
allochtrophy,ochtroph,,1
allodontermes,donterme,s,1
allogenic,allogeni,,1
allogenic control,c contro,,7
autogenic ecosystem engineers,engineer,s,2
allogenic succession,uccessio,,54
alloglossidium progeneticum,geneticu,,1
allohormone,lohormon,,1
allomeric variation,variatio,,240
allomerus,allomeru,s,1
allomerus decemarticulatus,ticulatu,s,6
allomerus ocotoarticulatus,ticulatu,s,6
allometric,llometri,,1
allometric dispersion,ispersio,,26
allometric engineering,gineerin,,9
allometric equations,equation,s,18
allometric evolution,evolutio,,298
allometric exponent, exponen,,5
allometric facilitation,ilitatio,,31
allometric growth,ic growt,,14
allometric interactions,eraction,s,323
allometric laws,tric law,s,1
allometric models,ic model,s,16
allometric partitioning theory,ng theor,,16
allometric relations,relation,s,36
allometric relationships,tionship,s,76
